조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2015,충청남도 공주시,엽채류,상추,55385,6.7,102000
2014,충청남도 금산군,엽채류,상추,49785,4,162000
2013,충청남도 금산군,엽채류,상추,49785,4,162000
2011,충청남도 금산군,엽채류,상추,48838,15.4,161500
2012,충청남도 금산군,엽채류,상추,46601,21.2,174400
2010,충청남도 아산시,엽채류,상추,38363,17.9,100300
2011,충청남도 계룡시,엽채류,상추,36922,27.9,117106
2014,충청남도 계룡시,엽채류,상추,31085,26.8,98040
2012,충청남도 부여군,엽채류,상추,30000,9.6,87400
2010,충청남도 부여군,엽채류,상추,30000,13.7,93600
2015,충청남도 부여군,엽채류,상추,29953,28.3,81241
2012,충청남도 계룡시,엽채류,상추,29742,27.8,96910
2013,충청남도 계룡시,엽채류,상추,29143,26.9,92227
2013,충청남도 천안시,엽채류,상추,28780,37.3,201000
2010,충청남도 당진시,엽채류,상추,28768,44.7,65120
2012,충청남도 천안시,엽채류,상추,28148,43.7,217090
2014,충청남도 천안시,엽채류,상추,27887,15.3,59328
2015,충청남도 천안시,엽채류,상추,27458,11.1,52178
2010,충청남도 예산군,엽채류,상추,27000,14.3,55875
2010,충청남도 계룡시,엽채류,상추,26174,27.4,84614
2014,충청남도 부여군,엽채류,상추,24375,23.3,79630
2011,충청남도 예산군,엽채류,상추,24000,14.2,47100
2015,충청남도 계룡시,엽채류,상추,23250,30.9,77939
2010,충청남도 금산군,엽채류,상추,21690,24.8,76440
2011,충청남도 보령시,엽채류,상추,21601,13.3,25483.4
2014,충청남도 서산시,엽채류,상추,20000,21.7,75600
2013,충청남도 부여군,엽채류,상추,18002.2,2850007,6324600
2010,충청남도 공주시,엽채류,상추,17000,4.6,78500
2010,충청남도 천안시,엽채류,상추,15846,13.1,65000
2015,충청남도 서산시,엽채류,상추,15000,14.8,44200
2012,충청남도 아산시,엽채류,상추,14124,17.8,36330
2011,충청남도 아산시,엽채류,상추,14124,18.6,37980
2012,충청남도 서산시,엽채류,상추,14030,14,32350
2015,충청남도 당진시,엽채류,상추,13630,13.2,29986
2013,충청남도 당진시,엽채류,상추,13630,13.2,29986
2011,충청남도 공주시,엽채류,상추,13292,13.8,61143.2
2010,충청남도 보령시,엽채류,상추,12870,7.9,18000
2011,충청남도 부여군,엽채류,상추,12000,6.3,35000
2011,충청남도 서산시,엽채류,상추,11030,19.1,29000
2012,충청남도 예산군,엽채류,상추,10994,7.2,17700
2012,충청남도 보령시,엽채류,상추,10831,7.2,8813.4
2011,충청남도 당진시,엽채류,상추,10100,19.7,21180
2010,충청남도 서산시,엽채류,상추,9256,22.8,37232
2013,충청남도 공주시,엽채류,상추,8870,2.5,6610
2013,충청남도 청양군,엽채류,상추,8715,14.8,20903.55
2010,충청남도 홍성군,엽채류,상추,7640,5.7,17000
2012,충청남도 당진시,엽채류,상추,7400,8.8,13009
2015,충청남도 보령시,엽채류,상추,5300,1.3,2300
2014,충청남도 보령시,엽채류,상추,5300,1.3,2300
2013,충청남도 보령시,엽채류,상추,5000,1.3,2100
2011,충청남도 홍성군,엽채류,상추,5000,2.8,13800
2014,충청남도 홍성군,엽채류,상추,4999,10.7,13990
2012,충청남도 홍성군,엽채류,상추,4999,5.6,6890
2013,충청남도 서산시,엽채류,상추,4560,20.8,14350
2015,충청남도 홍성군,엽채류,상추,4000,10.5,13900
2015,충청남도 금산군,엽채류,상추,3761,28.3,22081
2014,충청남도 서천군,엽채류,상추,3750,23.5,9980
2015,충청남도 서천군,엽채류,상추,3700,21.4,10190
2015,충청남도 청양군,엽채류,상추,3640,8.3,5300
2014,충청남도 청양군,엽채류,상추,3640,8.3,5280
2011,충청남도 서천군,엽채류,상추,3561,18,8790
2013,충청남도 아산시,엽채류,상추,3303,8.3,6490
2013,충청남도 예산군,엽채류,상추,3000,0.5,450
2010,충청남도 서천군,엽채류,상추,3000,7.5,7500
2015,충청남도 아산시,엽채류,상추,2980,8.7,6400
2014,충청남도 아산시,엽채류,상추,2980,8.7,6400
2013,충청남도 태안군,엽채류,상추,2731,11.5,9700
2015,충청남도 태안군,엽채류,상추,2660,11.1,9500
2014,충청남도 태안군,엽채류,상추,2660,11.1,9500
2013,충청남도 서천군,엽채류,상추,2600,14.9,7800
2012,충청남도 서천군,엽채류,상추,2600,14.9,7800
2012,충청남도 태안군,엽채류,상추,2369,10.9,8100
2013,충청남도 홍성군,엽채류,상추,999,0.3,90
2012,충청남도 청양군,엽채류,상추,992,4,3968
2011,충청남도 태안군,엽채류,상추,400,9,1200
2010,충청남도 태안군,엽채류,상추,400,9,1200
2010,충청남도 부여군,과채류계,수박,17230914,143.6,82285658.98
2012,충청남도 부여군,과채류계,수박,14111424.2,12210.2,60798758.4
2013,충청남도 부여군,과채류계,수박,7044651.6,675.5,138750965.4
2011,충청남도 논산시,과채류계,수박,4577000,514.1,17821400
2011,충청남도 부여군,과채류계,수박,3397039,16.5,14314878
2012,충청남도 논산시,과채류계,수박,2112108,60.3,2727175
2013,충청남도 예산군,과채류계,수박,1341918,110.3,5499581.04
2015,충청남도 예산군,과채류계,수박,1316254,75.1,5985498.98
2014,충청남도 예산군,과채류계,수박,1240016,70.2,5110340.98
2013,충청남도 논산시,과채류계,수박,580173,202.4,3870402
2014,충청남도 논산시,과채류계,수박,363766,154.1,1425747
2015,충청남도 논산시,과채류계,수박,349979,118.2,1344998
2013,충청남도 청양군,과채류계,수박,286310,52.2,1168200
2011,충청남도 예산군,과채류계,수박,278873,138.3,1176068
2014,충청남도 청양군,과채류계,수박,268059,25.1,1107800
2010,충청남도 예산군,과채류계,수박,256903,106.6,1055107
2014,충청남도 부여군,과채류계,수박,246991,138.8,734853
2015,충청남도 부여군,과채류계,수박,208917,204.7,1108706.2
2011,충청남도 홍성군,과채류계,수박,170984,14.6,710880
2013,충청남도 홍성군,과채류계,수박,165000,13.4,707200
2010,충청남도 논산시,과채류계,수박,141163,143.8,549160
2012,충청남도 예산군,과채류계,수박,110448,171.9,568630.5
2012,충청남도 홍성군,과채류계,수박,104776,49.7,1527600
2015,충청남도 공주시,과채류계,수박,76468,48.3,267088
2010,충청남도 공주시,과채류계,수박,72301,76.3,274923
2013,충청남도 천안시,과채류계,수박,54739,23.7,225150
2014,충청남도 서천군,과채류계,수박,46400,31.9,204800
2011,충청남도 아산시,과채류계,수박,45578,34.2,156710
2015,충청남도 서천군,과채류계,수박,45400,25.9,202800
2010,충청남도 아산시,과채류계,수박,44788,37.5,163000
2014,충청남도 공주시,과채류계,수박,43112,51.5,238451
2013,충청남도 서산시,과채류계,수박,42789,69.1,202728
2014,충청남도 서산시,과채류계,수박,42789,66.3,193428
2012,충청남도 아산시,과채류계,수박,42728,29.8,143630
2012,충청남도 서산시,과채류계,수박,42689,49.6,149761
2013,충청남도 아산시,과채류계,수박,41277,27.5,108243.8
2011,충청남도 서천군,과채류계,수박,40794,68.4,193454
2015,충청남도 천안시,과채류계,수박,38954,12.5,166200
2011,충청남도 서산시,과채류계,수박,38069,81.2,206098
2012,충청남도 보령시,과채류계,수박,37500,15.1,90510
2011,충청남도 금산군,과채류계,수박,36470,38.3,155300
2011,충청남도 공주시,과채류계,수박,36060,41.8,137028
2015,충청남도 아산시,과채류계,수박,36046,58,663399
2014,충청남도 아산시,과채류계,수박,36046,58,663399
2015,충청남도 서산시,과채류계,수박,34880,50,150528
2012,충청남도 서천군,과채류계,수박,33606,50.9,137650
2012,충청남도 청양군,과채류계,수박,31856,35.1,113611
2010,충청남도 서천군,과채류계,수박,30000,13.3,133050
2012,충청남도 금산군,과채류계,수박,29870,26.3,118100
2010,충청남도 금산군,과채류계,수박,27194,26.5,116140
2013,충청남도 서천군,과채류계,수박,26171,51.5,109000
2010,충청남도 서산시,과채류계,수박,25960,31.6,95330
2013,충청남도 공주시,과채류계,수박,25480,42.5,181700
2012,충청남도 천안시,과채류계,수박,25094,22.7,89200
2010,충청남도 홍성군,과채류계,수박,23160,13.9,39600
2012,충청남도 공주시,과채류계,수박,22980,35.1,166853
2014,충청남도 천안시,과채류계,수박,21275,12.4,88018
2010,충청남도 청양군,과채류계,수박,19410,2.9,5186
2012,충청남도 당진시,과채류계,수박,19000,6.6,41800
2011,충청남도 청양군,과채류계,수박,18900,22.5,70800
2014,충청남도 금산군,과채류계,수박,15456,21.1,53224
2013,충청남도 금산군,과채류계,수박,15176,26.2,66550
2011,충청남도 당진시,과채류계,수박,14000,12.7,59080
2010,충청남도 보령시,과채류계,수박,13000,11.2,48700
2015,충청남도 홍성군,과채류계,수박,12723,37.4,53193
2015,충청남도 청양군,과채류계,수박,11631,28,58640
2015,충청남도 보령시,과채류계,수박,11335,23,41046
2014,충청남도 보령시,과채류계,수박,11335,23,41046
2014,충청남도 홍성군,과채류계,수박,11244,13.9,43191
2013,충청남도 보령시,과채류계,수박,10500,8.3,28880
2010,충청남도 당진시,과채류계,수박,8800,9.8,21280
2015,충청남도 금산군,과채류계,수박,8580,8.5,24100
2011,충청남도 천안시,과채류계,수박,7814,13.2,34410
2014,충청남도 당진시,과채류계,수박,4000,12.6,16800
2013,충청남도 당진시,과채류계,수박,4000,12.6,16800
2010,충청남도 천안시,과채류계,수박,3600,4.3,15400
2010,충청남도 부여군,엽채류,시금치,629182,14.1,1383151.574
2012,충청남도 부여군,엽채류,시금치,592754,15.8,1217681
2015,충청남도 예산군,엽채류,시금치,189501,21.4,386460
2013,충청남도 예산군,엽채류,시금치,185748,15.6,365100
2014,충청남도 예산군,엽채류,시금치,168880,8.6,336360
2010,충청남도 예산군,엽채류,시금치,84120,19.7,170338
2013,충청남도 부여군,엽채류,시금치,74169,26.2,151025
2014,충청남도 부여군,엽채류,시금치,73409,26.4,155742
2013,충청남도 논산시,엽채류,시금치,52000,9,112800
2015,충청남도 부여군,엽채류,시금치,45283,29.3,82769
2011,충청남도 예산군,엽채류,시금치,44780,31.3,120227
2010,충청남도 서천군,엽채류,시금치,30000,3,30000
2012,충청남도 논산시,엽채류,시금치,25300,7,43100
2012,충청남도 예산군,엽채류,시금치,25000,17.2,44350
2011,충청남도 부여군,엽채류,시금치,24000,1.8,43320
2015,충청남도 논산시,엽채류,시금치,20000,7.8,32225
2014,충청남도 논산시,엽채류,시금치,20000,5.7,30655
2012,충청남도 아산시,엽채류,시금치,19269,12.7,36390
2011,충청남도 아산시,엽채류,시금치,19269,13.1,37300
2010,충청남도 아산시,엽채류,시금치,18530,12.8,35700
2011,충청남도 논산시,엽채류,시금치,18300,11.7,32300
2010,충청남도 논산시,엽채류,시금치,16000,16.8,29940
2013,충청남도 당진시,엽채류,시금치,14320,16.3,25946
2013,충청남도 서산시,엽채류,시금치,10932,13,14519
2012,충청남도 서산시,엽채류,시금치,10932,13,14518
2011,충청남도 서산시,엽채류,시금치,10932,15.4,19600
2010,충청남도 홍성군,엽채류,시금치,10000,2.1,20700
2011,충청남도 홍성군,엽채류,시금치,8000,20.7,165206
2015,충청남도 당진시,엽채류,시금치,7320,14.5,13264
2015,충청남도 서산시,엽채류,시금치,6142,3.1,6399
2014,충청남도 서산시,엽채류,시금치,6142,3.1,6399
2015,충청남도 공주시,엽채류,시금치,4455,3.2,4800
2012,충청남도 공주시,엽채류,시금치,4455,3.6,5470
2013,충청남도 서천군,엽채류,시금치,3481.184,771.5,9300
2012,충청남도 보령시,엽채류,시금치,3314,6.7,7259.917
2011,충청남도 보령시,엽채류,시금치,3314,7.3,8019.8
2014,충청남도 천안시,엽채류,시금치,3300,1.4,4500
2014,충청남도 보령시,엽채류,시금치,3300,5.5,6072
2013,충청남도 보령시,엽채류,시금치,3300,5.5,6072
2015,충청남도 보령시,엽채류,시금치,3000,5.8,6072
2012,충청남도 당진시,엽채류,시금치,3000,3.6,5400
2010,충청남도 당진시,엽채류,시금치,3000,6.5,6480
2011,충청남도 당진시,엽채류,시금치,2830,5.4,5137
2012,충청남도 서천군,엽채류,시금치,2664,4.6,4300
2013,충청남도 태안군,엽채류,시금치,2259,6.1,4600
2012,충청남도 태안군,엽채류,시금치,2259,6.1,4600
2014,충청남도 공주시,엽채류,시금치,2179,1.8,4000
2014,충청남도 서천군,엽채류,시금치,2164,3.1,1570
2010,충청남도 서산시,엽채류,시금치,2142,6.4,4574
2011,충청남도 태안군,엽채류,시금치,2070,6.4,4400
2010,충청남도 태안군,엽채류,시금치,2070,6.4,4400
2010,충청남도 금산군,엽채류,시금치,2000,2.1,4100
2011,충청남도 공주시,엽채류,시금치,1750,1.8,3213
2015,충청남도 태안군,엽채류,시금치,1650,8.9,4600
2014,충청남도 태안군,엽채류,시금치,1650,8.9,4600
2013,충청남도 아산시,엽채류,시금치,1323,1.5,1990
2015,충청남도 아산시,엽채류,시금치,1000,1.9,1900
2014,충청남도 아산시,엽채류,시금치,1000,1.9,1900
2011,충청남도 서천군,엽채류,시금치,1000,3,3000
2014,충청남도 홍성군,엽채류,시금치,999,1.9,630
2013,충청남도 홍성군,엽채류,시금치,999,1.9,630
2012,충청남도 홍성군,엽채류,시금치,999,1.9,630
2010,충청남도 부여군,과채류계,오이,1100977,121.5,9809894
2013,충청남도 부여군,과채류계,오이,593324,851.8,66084557.4
2012,충청남도 부여군,과채류계,오이,571684,77,5633761
2013,충청남도 아산시,과채류계,오이,170977,163.6,1153323
2015,충청남도 천안시,과채류계,오이,169645,266.4,1782314
2012,충청남도 천안시,과채류계,오이,165502,407.3,2323328
2014,충청남도 천안시,과채류계,오이,162141,198.5,1178467
2013,충청남도 천안시,과채류계,오이,161481,375.5,1969177
2014,충청남도 논산시,과채류계,오이,145651,153.6,1179091
2015,충청남도 논산시,과채류계,오이,143010,125.4,1189734
2010,충청남도 천안시,과채류계,오이,142266,292,1570252
2011,충청남도 천안시,과채류계,오이,120000,335.1,1512993
2013,충청남도 논산시,과채류계,오이,115155,120.8,849415
2012,충청남도 논산시,과채류계,오이,111397,71.7,813769
2011,충청남도 부여군,과채류계,오이,109560,22.2,930033
2010,충청남도 아산시,과채류계,오이,88214,236.1,829700
2014,충청남도 부여군,과채류계,오이,88197,209.2,568524
2011,충청남도 논산시,과채류계,오이,85447,192.3,709890
2012,충청남도 서산시,과채류계,오이,82606,116.1,566401.5
2011,충청남도 홍성군,과채류계,오이,79609,24.3,918175
2011,충청남도 서산시,과채류계,오이,79064,178.1,656800
2015,충청남도 부여군,과채류계,오이,77793,144.3,409624.5
2012,충청남도 아산시,과채류계,오이,77625,211,823607
2011,충청남도 예산군,과채류계,오이,71656,115.9,474927
2010,충청남도 서산시,과채류계,오이,68341,186.4,616783.8
2011,충청남도 아산시,과채류계,오이,67103,176.8,696794
2010,충청남도 공주시,과채류계,오이,65958,176.1,638500
2014,충청남도 아산시,과채류계,오이,62254,189,765463
2015,충청남도 아산시,과채류계,오이,59616.64,5063.5,702433
2010,충청남도 논산시,과채류계,오이,58040,193.7,488010
2015,충청남도 예산군,과채류계,오이,47819,88.8,300900
2010,충청남도 홍성군,과채류계,오이,42609,17.8,588000
2013,충청남도 서산시,과채류계,오이,40450,102.2,268350
2012,충청남도 서천군,과채류계,오이,39456,93.8,200280
2010,충청남도 예산군,과채류계,오이,38806,99.3,338497
2014,충청남도 공주시,과채류계,오이,32921,82.7,305664
2015,충청남도 서산시,과채류계,오이,32309,45.1,106503
2012,충청남도 예산군,과채류계,오이,31700,114.8,256442
2013,충청남도 예산군,과채류계,오이,30632,96.1,225775
2014,충청남도 예산군,과채류계,오이,30132,82.8,214650
2011,충청남도 서천군,과채류계,오이,28536,91.5,145700
2014,충청남도 서산시,과채류계,오이,27854,73.8,135748
2015,충청남도 서천군,과채류계,오이,23972,65.3,143500
2014,충청남도 서천군,과채류계,오이,23488,74.1,140450
2013,충청남도 서천군,과채류계,오이,21621.944,76.8,109445
2011,충청남도 공주시,과채류계,오이,16475,125.5,159207
2015,충청남도 홍성군,과채류계,오이,16421,13.8,34243
2013,충청남도 공주시,과채류계,오이,14438,53,109420
2014,충청남도 홍성군,과채류계,오이,14345,37.5,83300
2015,충청남도 공주시,과채류계,오이,13858,50.3,118800
2012,충청남도 공주시,과채류계,오이,13037,16.4,39700
2011,충청남도 당진시,과채류계,오이,11250,63.7,71662
2015,충청남도 보령시,과채류계,오이,10240,16,81920
2013,충청남도 홍성군,과채류계,오이,9930,49.5,110500
2012,충청남도 홍성군,과채류계,오이,9930,48.3,107500
2012,충청남도 당진시,과채류계,오이,9798,47.9,52102
2013,충청남도 당진시,과채류계,오이,9685,45,48425
2014,충청남도 보령시,과채류계,오이,9240,8,73920
2013,충청남도 보령시,과채류계,오이,9240,8,73920
2011,충청남도 보령시,과채류계,오이,9200,7.3,67000
2010,충청남도 보령시,과채류계,오이,9200,7.2,66240
2010,충청남도 금산군,과채류계,오이,8806,29.9,87776
2012,충청남도 금산군,과채류계,오이,8542,30.2,86259
2011,충청남도 금산군,과채류계,오이,8542,29.9,85153
2014,충청남도 금산군,과채류계,오이,7524,34.1,85500
2013,충청남도 금산군,과채류계,오이,7524,34.1,85500
2015,충청남도 금산군,과채류계,오이,7227,36.9,90000
2010,충청남도 당진시,과채류계,오이,7211.25,75044.6,45940
2015,충청남도 당진시,과채류계,오이,6690,30,33450
2014,충청남도 청양군,과채류계,오이,5940,6.1,12000
2013,충청남도 청양군,과채류계,오이,5940,6.1,12000
2012,충청남도 청양군,과채류계,오이,4348,6,8696
2014,충청남도 당진시,과채류계,오이,4063,8.3,13900
2010,충청남도 서천군,과채류계,오이,4000,26.4,34915
2014,충청남도 태안군,과채류계,오이,1995,26.6,11090
2013,충청남도 태안군,과채류계,오이,1500,21.6,10600
2015,충청남도 태안군,과채류계,오이,1500,20,10000
2011,충청남도 태안군,과채류계,오이,1100,21,7700
2010,충청남도 태안군,과채류계,오이,1100,21,7700
2012,충청남도 태안군,과채류계,오이,1100,20.9,7600
2015,충청남도 계룡시,과채류계,오이,638,9.2,5900
2014,충청남도 계룡시,과채류계,오이,638,9.2,5900
2013,충청남도 계룡시,과채류계,오이,638,9.2,5900
2012,충청남도 계룡시,과채류계,오이,638,9.2,5900
2011,충청남도 계룡시,과채류계,오이,638,9.2,5857
2010,충청남도 계룡시,과채류계,오이,638,7.7,4912
2013,충청남도 당진시,근채류계,우엉,19000,5.7,36100
2012,충청남도 당진시,근채류계,우엉,19000,5.7,36005
2015,충청남도 아산시,조미채소계,쪽파,329600,7.2,875500
2014,충청남도 아산시,조미채소계,쪽파,329000,2.7,874600
2013,충청남도 예산군,조미채소계,쪽파,245729,50.5,447905.56
2014,충청남도 예산군,조미채소계,쪽파,219382,52.5,542441.9
2015,충청남도 예산군,조미채소계,쪽파,175375,44.8,453000.9
2010,충청남도 예산군,조미채소계,쪽파,146143,49.7,365363
2011,충청남도 예산군,조미채소계,쪽파,99461,46.2,254786
2012,충청남도 예산군,조미채소계,쪽파,65816,58.5,166122
2015,충청남도 서산시,조미채소계,쪽파,36940,20.8,70825
2013,충청남도 서산시,조미채소계,쪽파,34302,20.7,51932.7
2010,충청남도 부여군,조미채소계,쪽파,29930,4.5,74000
2014,충청남도 부여군,조미채소계,쪽파,25926,10.6,83281
2013,충청남도 부여군,조미채소계,쪽파,25925,9.8,63268
2014,충청남도 서산시,조미채소계,쪽파,24112,20.2,42540
2012,충청남도 부여군,조미채소계,쪽파,24000,2.5,58800
2013,충청남도 당진시,조미채소계,쪽파,23960,19.8,58967
2012,충청남도 서산시,조미채소계,쪽파,23512,23.9,44482.7
2012,충청남도 서천군,조미채소계,쪽파,22652,40.7,44650
2015,충청남도 당진시,조미채소계,쪽파,20960,12.4,51950
2010,충청남도 보령시,조미채소계,쪽파,19900,6.6,26420
2015,충청남도 서천군,조미채소계,쪽파,18827.6,89.1,66226
2010,충청남도 당진시,조미채소계,쪽파,18716,25.7,53341
2010,충청남도 아산시,조미채소계,쪽파,17184,19.9,42968
2012,충청남도 아산시,조미채소계,쪽파,15624,18.5,41590
2011,충청남도 서천군,조미채소계,쪽파,15253,23.2,16515
2011,충청남도 당진시,조미채소계,쪽파,14990,17.1,42722
2014,충청남도 서천군,조미채소계,쪽파,14914,75.2,52855
2013,충청남도 서천군,조미채소계,쪽파,13027.6,37.3,33095
2011,충청남도 아산시,조미채소계,쪽파,12984,16,34980
2011,충청남도 서산시,조미채소계,쪽파,10627,20.9,21792
2011,충청남도 보령시,조미채소계,쪽파,10300,4.3,14600
2013,충청남도 보령시,조미채소계,쪽파,10276,8.8,19846
2012,충청남도 논산시,조미채소계,쪽파,10000,1.2,12000
2011,충청남도 논산시,조미채소계,쪽파,10000,3.4,11000
2012,충청남도 보령시,조미채소계,쪽파,9100,6,18250
2012,충청남도 당진시,조미채소계,쪽파,9000,14.7,22043
2012,충청남도 홍성군,조미채소계,쪽파,8332,8.5,19622
2013,충청남도 홍성군,조미채소계,쪽파,8079,8.3,18800
2015,충청남도 태안군,조미채소계,쪽파,7920,3.9,10110
2011,충청남도 홍성군,조미채소계,쪽파,7333,7.6,19330
2010,충청남도 서산시,조미채소계,쪽파,7268,9.1,17395
2015,충청남도 보령시,조미채소계,쪽파,6876,8.8,13046
2014,충청남도 보령시,조미채소계,쪽파,6876,8.8,13046
2013,충청남도 천안시,조미채소계,쪽파,5000,2,10000
2010,충청남도 공주시,조미채소계,쪽파,4018,8.7,8500
2014,충청남도 홍성군,조미채소계,쪽파,3079,5.6,5100
2013,충청남도 태안군,조미채소계,쪽파,3000,7.5,7500
2012,충청남도 태안군,조미채소계,쪽파,3000,7.5,7500
2011,충청남도 태안군,조미채소계,쪽파,3000,7.8,7800
2010,충청남도 태안군,조미채소계,쪽파,3000,7.8,7800
2011,충청남도 공주시,조미채소계,쪽파,2908,4.2,6078
2011,충청남도 부여군,조미채소계,쪽파,2565,2.4,6281
2015,충청남도 홍성군,조미채소계,쪽파,2080,3,3120
2014,충청남도 태안군,조미채소계,쪽파,1800,7.3,4400
2012,충청남도 금산군,조미채소계,쪽파,1027,1.1,1100
2011,충청남도 금산군,조미채소계,쪽파,1027,1,1000
2012,충청남도 공주시,조미채소계,쪽파,660,1.5,1000
2013,충청남도 부여군,과채류계,토마토,3005752,89.4,15516771
2010,충청남도 부여군,과채류계,토마토,2530507,124.7,14688927
2012,충청남도 부여군,과채류계,토마토,2126400,59.8,11650881
2011,충청남도 부여군,과채류계,토마토,303910,22.4,1719517
2013,충청남도 논산시,과채류계,토마토,179572,134.9,890384
2011,충청남도 논산시,과채류계,토마토,175879,189.5,1075090
2010,충청남도 논산시,과채류계,토마토,169927,205.4,1061370
2014,충청남도 논산시,과채류계,토마토,159114,214,1103538
2015,충청남도 논산시,과채류계,토마토,150723,214.6,1062073
2015,충청남도 부여군,과채류계,토마토,146646,190.4,903746
2012,충청남도 논산시,과채류계,토마토,143931,81.2,605029
2014,충청남도 부여군,과채류계,토마토,135857,153.9,659709
2010,충청남도 공주시,과채류계,토마토,118401,111,522200
2014,충청남도 보령시,과채류계,토마토,110770,85.7,478343.4
2013,충청남도 예산군,과채류계,토마토,109485,99.2,304345
2013,충청남도 아산시,과채류계,토마토,95985,144.8,530150.8
2014,충청남도 아산시,과채류계,토마토,95330,156.5,630672.4
2012,충청남도 아산시,과채류계,토마토,91875,103.4,521238
2011,충청남도 아산시,과채류계,토마토,89828,88.1,386012
2015,충청남도 아산시,과채류계,토마토,88986,146.6,597803.4
2013,충청남도 보령시,과채류계,토마토,86360,111.5,587000
2012,충청남도 서천군,과채류계,토마토,85017,97.8,474070
2014,충청남도 청양군,과채류계,토마토,83970,83.4,615389.18
2012,충청남도 청양군,과채류계,토마토,83318,84,395429
2013,충청남도 청양군,과채류계,토마토,82472,75.2,620801
2012,충청남도 예산군,과채류계,토마토,81843,140.4,463971.6
2010,충청남도 아산시,과채류계,토마토,76972,117.7,477400
2011,충청남도 예산군,과채류계,토마토,76920,103.2,437977
2014,충청남도 서천군,과채류계,토마토,64315,119.1,390314
2011,충청남도 보령시,과채류계,토마토,62930,47.9,327000
2015,충청남도 서천군,과채류계,토마토,58545,95.9,322114
2012,충청남도 당진시,과채류계,토마토,55274,34.5,238267
2010,충청남도 서산시,과채류계,토마토,54573,105.1,423768
2011,충청남도 홍성군,과채류계,토마토,54297,28.9,337623
2010,충청남도 예산군,과채류계,토마토,53262,55.2,191277
2011,충청남도 당진시,과채류계,토마토,53150,50.7,307894
2015,충청남도 공주시,과채류계,토마토,52957.6,68.6,236600
2011,충청남도 서산시,과채류계,토마토,51990,41.6,267700
2015,충청남도 예산군,과채류계,토마토,50519,96.6,300400
2012,충청남도 서산시,과채류계,토마토,49878.09,62.8,261461.5
2011,충청남도 공주시,과채류계,토마토,49228,95.2,235196.5
2013,충청남도 서천군,과채류계,토마토,49187,112.4,384950
2011,충청남도 서천군,과채류계,토마토,48017,120.7,219700
2015,충청남도 보령시,과채류계,토마토,47467,68.4,226397
2013,충청남도 공주시,과채류계,토마토,47203,28.1,116433
2015,충청남도 홍성군,과채류계,토마토,46515,39,270094
2014,충청남도 공주시,과채류계,토마토,46059,60.9,151438
2010,충청남도 당진시,과채류계,토마토,44939,77.5,267840
2010,충청남도 보령시,과채류계,토마토,44620,35.2,263358
2013,충청남도 서산시,과채류계,토마토,44078,63.1,116448
2013,충청남도 당진시,과채류계,토마토,43355,40.7,212823
2013,충청남도 천안시,과채류계,토마토,41876,33.1,165000
2015,충청남도 청양군,과채류계,토마토,41710,82.3,259004.18
2014,충청남도 예산군,과채류계,토마토,39985,97.2,222678
2015,충청남도 천안시,과채류계,토마토,37025,33.9,149930
2012,충청남도 천안시,과채류계,토마토,34096,21.8,118000
2014,충청남도 천안시,과채류계,토마토,32696,32.7,118570
2012,충청남도 보령시,과채류계,토마토,32510,64,214420
2015,충청남도 서산시,과채류계,토마토,30010,13.8,36841.6
2011,충청남도 청양군,과채류계,토마토,29700,271.4,895600
2014,충청남도 당진시,과채류계,토마토,26400,34.1,900000
2010,충청남도 청양군,과채류계,토마토,26035,24.1,112635
2010,충청남도 홍성군,과채류계,토마토,25619,37.3,138000
2010,충청남도 서천군,과채류계,토마토,21000,21.9,82500
2010,충청남도 금산군,과채류계,토마토,20800,25.3,80000
2010,충청남도 천안시,과채류계,토마토,18672,73.1,146000
2010,충청남도 계룡시,과채류계,토마토,18400,16.3,98500
2014,충청남도 홍성군,과채류계,토마토,17938,2.8,7105
2013,충청남도 홍성군,과채류계,토마토,16295,21.6,47900
2012,충청남도 공주시,과채류계,토마토,15258,17,49449
2013,충청남도 계룡시,과채류계,토마토,14972.5,17.2,85919
2015,충청남도 계룡시,과채류계,토마토,14972.5,17.2,85910
2012,충청남도 계룡시,과채류계,토마토,14972.5,17.2,85900
2014,충청남도 계룡시,과채류계,토마토,14972.5,17.2,85887
2011,충청남도 금산군,과채류계,토마토,14600,7.7,52860
2012,충청남도 태안군,과채류계,토마토,13090,28.9,66000
2012,충청남도 홍성군,과채류계,토마토,12295,20.5,44500
2013,충청남도 태안군,과채류계,토마토,12100,15.3,61500
2012,충청남도 금산군,과채류계,토마토,11905,7.5,50800
2011,충청남도 계룡시,과채류계,토마토,11719,17.1,66990
2015,충청남도 당진시,과채류계,토마토,11375,24.6,46910
2014,충청남도 금산군,과채류계,토마토,8000,6.1,49000
2013,충청남도 금산군,과채류계,토마토,8000,6.1,49000
2014,충청남도 태안군,과채류계,토마토,7800,18.2,50000
2011,충청남도 천안시,과채류계,토마토,7227,15.7,56700
2014,충청남도 서산시,과채류계,토마토,5850,2,6032.96
2015,충청남도 금산군,과채류계,토마토,3500,18.4,21437
2015,충청남도 태안군,과채류계,토마토,1800,7.3,4400
2010,충청남도 태안군,과채류계,토마토,600,17.7,3570
2010,충청남도 부여군,과채류계,풋고추,608340,43.8,2152502
2011,충청남도 부여군,과채류계,풋고추,410310,11.4,1456681
