집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20201023,101,0,1,0,0,10489,244,603,511,98,141,12086
20201023,101,0,2,0,0,76613,2509,7471,1685,1095,3023,92396
20201023,101,1,1,0,0,10463,335,530,696,181,1021,13226
20201023,101,1,2,0,0,80461,2954,7960,2198,1690,3401,98664
20201024,101,0,1,0,0,12936,184,387,288,88,115,13998
20201024,101,0,2,0,0,80687,1453,6101,1053,788,2743,92825
20201024,101,1,1,0,0,12496,244,335,425,116,1100,14716
20201024,101,1,2,0,0,80571,1935,6315,1436,1190,2905,94352
20201025,101,0,1,0,0,13208,120,232,152,31,108,13851
20201025,101,0,2,0,0,79385,869,5140,694,303,2771,89162
20201025,101,1,1,0,0,12683,152,199,198,47,1074,14353
20201025,101,1,2,0,0,77985,845,5609,971,394,2643,88447
20201026,101,0,1,0,0,11308,290,638,515,120,146,13017
20201026,101,0,2,0,0,79634,2472,7088,1702,1146,3433,95475
20201026,101,1,1,0,0,9977,359,545,588,153,1023,12645
20201026,101,1,2,0,0,78241,2818,7483,2017,1617,3448,95624
20201027,101,0,1,0,0,10225,270,683,538,119,151,11986
20201027,101,0,2,0,0,73798,2653,7071,1886,1161,3135,89704
20201027,101,1,1,0,0,9840,352,560,807,173,971,12703
20201027,101,1,2,0,0,77730,3084,7513,2422,1708,3430,95887
20201028,101,0,1,0,0,10190,262,654,545,145,173,11969
20201028,101,0,2,0,0,76102,2612,7059,1805,1071,3190,91839
20201028,101,1,1,0,0,9845,373,571,721,168,977,12655
20201028,101,1,2,0,0,77698,3077,7471,2345,1704,3293,95588
20201029,101,0,1,0,0,11123,349,714,567,160,178,13091
20201029,101,0,2,0,0,78556,2695,7063,1758,1059,3354,94485
20201029,101,1,1,0,0,10048,355,586,738,138,981,12846
20201029,101,1,2,0,0,79024,3061,7512,2314,1635,3357,96903
20201030,101,0,1,0,0,11959,294,704,507,127,180,13771
20201030,101,0,2,0,0,80104,2544,7558,1687,1113,3309,96315
20201030,101,1,1,0,0,10819,351,543,744,154,1038,13649
20201030,101,1,2,0,0,80772,2963,8091,2221,1605,3454,99106
20201031,101,0,1,0,0,13726,162,373,299,67,115,14742
20201031,101,0,2,0,0,82193,1549,6303,1044,689,2918,94696
20201031,101,1,1,0,0,12705,243,291,419,108,1161,14927
20201031,101,1,2,0,0,82333,1938,6410,1401,1068,2992,96142
